timestamp ba_x ba_y ba_z bg_x bg_y bg_z
1697557190.926162 0.00001371 -0.00000338 -0.00633041 -0.00002963 0.00009719 -0.00026052
1697557191.028164 0.00004803 0.00001105 -0.01879424 -0.00002940 0.00010093 -0.00025879
1697557191.127167 0.00009593 0.00002657 -0.03513996 -0.00003040 0.00010727 -0.00025470
1697557191.229169 0.00014576 0.00004359 -0.05266916 -0.00003368 0.00011354 -0.00024967
1697557191.328171 0.00019372 0.00005859 -0.07101600 -0.00003542 0.00012211 -0.00024338
1697557191.427173 0.00024105 0.00007352 -0.09019829 -0.00003970 0.00012777 -0.00023950
1697557191.526175 0.00027713 0.00008531 -0.10651923 -0.00004282 0.00013297 -0.00023747
1697557191.628177 0.00032168 0.00009983 -0.12726569 -0.00004660 0.00013945 -0.00023338
1697557191.727179 0.00036330 0.00011428 -0.14850825 -0.00004909 0.00014411 -0.00022562
1697557191.826181 0.00040018 0.00012982 -0.17021145 -0.00004915 0.00014752 -0.00021526
1697557191.928184 0.00042671 0.00014250 -0.18837170 -0.00004759 0.00014965 -0.00020532
1697557192.030186 0.00044689 0.00014999 -0.20659656 -0.00004128 0.00015691 -0.00019652
1697557192.129188 0.00046484 0.00015201 -0.22860676 -0.00003715 0.00016094 -0.00018857
1697557192.231190 0.00048217 0.00015150 -0.24693290 -0.00003067 0.00016460 -0.00018322
1697557192.330192 0.00050873 0.00015026 -0.26932402 -0.00002100 0.00017007 -0.00017640
1697557192.429194 0.00053399 0.00014956 -0.29169466 -0.00001018 0.00017171 -0.00017429
1697557192.531196 0.00056240 0.00014635 -0.31435109 0.00000307 0.00017656 -0.00016945
1697557192.630198 0.00059075 0.00014269 -0.33662104 0.00002049 0.00017660 -0.00016098
1697557192.729201 0.00061339 0.00013908 -0.35465633 0.00003426 0.00017252 -0.00015777
1697557192.828203 0.00063334 0.00013248 -0.37750212 0.00005449 0.00016299 -0.00015550
1697557192.930205 0.00064048 0.00013118 -0.40139968 0.00007516 0.00014949 -0.00015405
1697557193.029207 0.00064366 0.00013149 -0.42072583 0.00009005 0.00013590 -0.00015135
1697557193.131209 0.00065696 0.00012974 -0.44017034 0.00010452 0.00012094 -0.00015415
1697557193.230211 0.00066560 0.00012894 -0.46452184 0.00012385 0.00010273 -0.00015530
1697557193.329213 0.00067204 0.00013033 -0.48835978 0.00014460 0.00008508 -0.00015854
1697557193.431216 0.00067801 0.00013297 -0.50337119 0.00016016 0.00007246 -0.00016233
1697557193.530218 0.00067995 0.00014514 -0.52641310 0.00018045 0.00005291 -0.00017049
1697557193.629220 0.00068019 0.00015320 -0.54962928 0.00019353 0.00003308 -0.00017589
1697557193.731222 0.00068329 0.00016073 -0.57232955 0.00020533 0.00001649 -0.00017989
1697557193.830224 0.00068737 0.00016678 -0.58987767 0.00021579 0.00000214 -0.00018080
1697557193.929226 0.00068868 0.00017644 -0.60662934 0.00023459 -0.00000704 -0.00018456
1697557194.031228 0.00069331 0.00019490 -0.62746381 0.00025605 -0.00001002 -0.00018561
1697557194.130230 0.00070107 0.00020130 -0.64345473 0.00026977 -0.00001530 -0.00017956
1697557194.229233 0.00070996 0.00020561 -0.66187830 0.00027790 -0.00001700 -0.00017559
1697557194.331235 0.00071816 0.00020870 -0.67611114 0.00027728 -0.00001800 -0.00017119
1697557194.430237 0.00072748 0.00021091 -0.69178769 0.00028107 -0.00002102 -0.00016421
1697557194.532239 0.00072926 0.00020928 -0.70744003 0.00028943 -0.00002777 -0.00015519
1697557194.631241 0.00073146 0.00020650 -0.72380021 0.00029799 -0.00004050 -0.00014881
